country,continent,regionUN,subregionUN,year_stunting_current,prev_stunting_current,number_stunting_current,year_wasting,prev_wasting,number_wasting,year_sev_wasting,number_sev_wasting,prev_sev_wasting,year_u5overweight,prev_u5overweight,number_u5overweight,year_lbw,LBW,year_stuntingtrend1,rate_stuntingtrend1,year_stuntingtrend2,rate_stuntingtrend2,year_stuntingtrend3,rate_stuntingtrend3,year_stuntingtrend4,rate_stuntingtrend4,year_stuntingtrend5,rate_stuntingtrend5,,,,,,year_adolOWOB,AdolOW,AdolOB,year_heightBMI,prev_height145,prev_BMI185,year_adult_OB_OW,ow_male,ow_female,ow_bothsexes,ob_male,ob_female,ob_bothsexes,year_WRAanaemia,WRAanaemia_RATE,WRAanaemia_NUMBER,year_vitA_def,prevalence_vita,year_IodineNutrition,Class_IodineNutrition,year_bloodglucose,BGboth,BGmale,BGfemale,year_bloodpressure,BPboth,BPmale,BPfemale,year_cholesterol,cholesterol_BOTH,cholesterol_MALE,cholesterol_FEMALE,current_aarr_stunting,reqd_aarr_stunting,stunting_progress,current_aarr_u5overweight,reqd_aarr_u5overweight,u5overweight_progress,wasting_progress,year_WHAtarget_WRAanaemia,WHAtarget_WRAanaemia1
Benin,Africa,Africa,Western Africa,2014,34,572,2014,5,76,2014,0,0.899999976,2014,2,29,2006,15,,,2014,34,2006,45,2001,39,1996,39,,,,,,2009,10.2,0.3,2006,1.1,8.5,2014,20,38,29,4,15,9,2011,50,1070,2013,53,1999,Risk of iodine-induced hyperthyroidism within 5?10 years following introduction of iodized salt in susceptible groups,2008,7,7,7,2008,45,47,43,2008,20,19,21,3,5,Off course - Some progress,21.17000008,0,On course - Good progress,on course,2011,Currently off course
Bhutan,Asia,Asia,Southern Asia,2010,34,23,2010,6,4,2010,0,2,2010,8,5,2010,9.9,,,2010,34,2008,35,1999,48,1987,61,,,,,,,,,,,,2014,25,30,27,5,9,7,2011,44,84,2013,28,1996,Risk of iodine-induced hyperthyroidism within 5?10 years following introduction of iodized salt in susceptible groups,2008,12,12,13,2008,39,40,37,2008,32,32,31,3,3,Off course - Some progress,-4.730000019,0.6,Off course - No progress,off course,2011,Currently off course
Bolivia,Americas,Latin America and the Caribbean,South America,2012,18,229,2012,2,20,2012,0,0.5,2008,9,110,2008,6,2012,18,2008,27,2003,33,1998,33,1994,37,,,,,,2012,21.7,4.6,2008,11.2,1.1,2014,48,56,52,12,22,17,2011,32,826,2013,11,1996,Risk of iodine-induced hyperthyroidism within 5?10 years following introduction of iodized salt in susceptible groups,2008,10,9,10,2008,38,42,34,2008,36,34,38,6,5,On course - Good progress,1.110000014,1.3,Off course - Some progress,on course,2011,Currently off course
Bosnia and Herzegovina,Europe,Europe,Southern Europe,2012,9,14,2012,2,4,2012,0,1.600000024,2012,17,28,2012,4.5,,,,,2012,9,2006,12,2000,12,,,,,,,,,,,,2014,55,49,52,16,19,18,2011,24,237,,,1999,Optimal iodine nutrition,2008,11,11,10,2008,47,47,47,2008,39,39,40,3,5,Off course - Some progress,-0.550000012,6.8,Off course - No progress,on course,2011,Currently off course
Botswana,Africa,Africa,Southern Africa,2007,31,71,2007,7,16,2007,0,3.200000048,2007,11,25,2007,13,,,,,2007,31,2000,29,1996,35,,,,,,,,,,,,2014,37,59,48,13,32,22,2011,29,152,2013,36,1994,Risk of iodine-induced hyperthyroidism within 5?10 years following introduction of iodized salt in susceptible groups,2008,9,8,10,2008,48,48,47,2008,38,36,39,-1,4,Off course - No progress,-1.059999943,2.6,Off course - No progress,off course,2011,Currently off course
Brazil,Americas,Latin America and the Caribbean,South America,2007,7,1174,2007,2,264,2007,0,0.400000006,2007,7,1207,2011,8.5,,,2007,7,2002,,1996,14,1989,19,,,,,,,,,1996,3.6,6.3,2014,56,53,54,17,23,20,2011,20,10638,2013,12,2000,"Risk of adverse health consequences (iodine induced hyperthyroidism, auto-immune thyroid diseases)",2008,10,10,10,2008,42,48,37,2008,44,44,44,,3,,,0.2,,on course,2011,Currently off course
Brunei Darussalam,Asia,Asia,South-Eastern Asia,2009,20,7,2009,3,1,2009,0,0.400000006,2009,8,3,2011,11.9,,,,,,,,,2009,20,,,,,,2014,37,20,,,,2014,48,47,47,16,20,18,2011,20,25,,,,,2008,7,9,6,2008,34,38,30,2008,55,55,56,,3,,,1.1,,on course,2011,Currently off course
Bulgaria,Europe,Europe,Eastern Europe,,,,,,,,,,,,,2011,8.8,,,,,,,,,2004,9,,,,,,,,,,,,2014,64,54,59,22,25,23,2011,24,416,,,1996,Optimal iodine nutrition,2008,10,10,9,2008,45,48,41,2008,50,50,49,,,,,,,,2011,Currently off course
Burkina Faso,Africa,Africa,Western Africa,2012,33,965,2012,11,320,2012,0,1.799999952,2010,3,79,2010,14.1,2012,33,2011,34,2010,35,2009,35,2006,42,,,,,,,,,2010,0.4,14.2,2014,17,30,24,3,9,6,2011,50,1976,2013,52,1999,Optimal iodine nutrition,2008,9,9,9,2008,45,46,44,2008,18,16,19,3,5,Off course - Some progress,-3.920000076,0,On course - At risk,off course,2011,Currently off course
Burundi,Africa,Africa,Eastern Africa,2010,58,969,2010,6,103,2010,0,1.399999976,2010,3,49,2010,12.9,,,2010,58,2005,58,2000,63,1987,56,,,,,,,,,2010,4,12.1,2014,8,23,16,1,5,3,2011,21,472,2013,46,,,2008,6,6,6,2008,49,50,48,2008,19,17,20,1,6,Off course - Some progress,-7.550000191,0,On course - At risk,off course,2011,Currently on course
Cambodia,Asia,Asia,South-Eastern Asia,2014,32,567,2014,10,168,2014,0,2.299999952,2014,2,35,2010,11.3,2014,32,2010,41,2008,40,2005,44,2000,49,,,,,,2013,3.7,0.4,2010,5.5,18.2,2014,13,22,18,2,5,3,2011,44,1744,2013,12,,,2008,5,5,5,2008,32,36,28,2008,30,27,32,6,4,On course - Good progress,-1.289999962,0.5,On course - At risk,off course,2011,Currently off course
Cameroon,Africa,Africa,Middle Africa,2011,33,1144,2011,6,204,2011,0,1.899999976,2011,7,228,2006,11,2011,33,2006,36,2004,35,1998,38,1991,36,,,,,,,,,2011,0.8,7.6,2014,25,42,34,6,17,11,2011,42,2024,2013,45,1993,Mild iodine deficiency,2008,10,10,10,2008,43,45,40,2008,22,20,24,1,5,Off course - Some progress,4.75,0,On course - Good progress,off course,2011,Currently off course
Canada,Americas,Northern America,Northern America,,,,,,,,,,,,,2011,6.1,,,,,,,,,,,,,,,,,,,,,,2014,69,60,64,27,29,28,2011,17,1359,,,,,2008,10,11,8,2008,30,33,26,2008,53,53,53,,,,,,,,2011,Currently off course
Cape Verde,Africa,Africa,Western Africa,,,,,,,,,,,,,2005,6,,,,,,,1994,21,1985,27,,,,,,,,,,,,2014,32,42,37,9,17,13,2011,38,51,2013,42,1996,Mild iodine deficiency,2008,15,16,15,2008,50,54,47,2008,25,24,25,,,,,,,,2011,Currently off course
Central African Republic,Africa,Africa,Middle Africa,2010,41,263,2010,7,48,,,,2010,2,12,2010,13.7,,,2010,41,2006,45,2000,45,1994,42,,,,,,,,,1994,2.4,15.3,2014,15,28,22,2,8,5,2011,46,502,2013,60,1993-4,Moderate iodine deficiency,2008,8,7,8,2008,46,48,44,2008,22,20,24,1,5,Off course - Some progress,15.47999954,0,On course - Good progress,off course,2011,Currently off course
Chad,Africa,Africa,Middle Africa,2010,39,887,2010,16,360,2010,0,5.900000095,2010,3,64,2010,19.9,,,2010,39,2004,45,2000,39,1997,45,,,,,,,,,2004,0.3,22.6,2014,18,34,26,4,12,8,2011,47,1216,2013,47,1993-4,Moderate iodine deficiency,2008,9,9,9,2008,43,45,41,2008,18,16,19,0,6,Off course - Some progress,0.25999999,0,On course - Good progress,off course,2011,Currently off course
Chile,Americas,Latin America and the Caribbean,South America,2014,2,22,2014,0,4,,,,2014,9,114,2011,5.9,2014,2,2013,2,2008,2,2007,2,2006,2,,,,,,2013,44.8,16.7,,,,2014,63,63,63,23,32,28,2011,12,554,2013,7,2001,"Risk of adverse health consequences (iodine induced hyperthyroidism, auto-immune thyroid diseases)",2008,10,11,10,2008,43,48,37,2008,49,49,48,2,4,On course - Good progress,0.349999994,2.5,Off course - Some progress,on course,2011,Currently off course
China,Asia,Asia,Eastern Asia,2010,9,8044,2010,2,1968,2010,1,0.699999988,2010,7,5648,,,2010,9,2009,9,2008,10,2005,12,2002,22,,,,,,2003,18.6,5.9,,,,2014,36,32,34,6,8,7,2011,20,73344,2013,4,2002,Risk of iodine-induced hyperthyroidism within 5?10 years following introduction of iodized salt in susceptible groups,2008,10,10,9,2008,39,41,36,2008,33,32,35,8,3,On course - Good progress,-2.269999981,0,On course - At risk,on course,2011,Currently off course
Colombia,Americas,Latin America and the Caribbean,South America,2010,13,573,2010,1,41,2010,0,0.200000003,2010,5,217,2012,9.5,2010,13,2005,16,2000,18,1995,20,1989,22,,,,,,,,,2010,3,4.4,2014,54,59,57,16,26,21,2011,20,2474,2013,12,1994-8,Risk of iodine-induced hyperthyroidism within 5?10 years following introduction of iodized salt in susceptible groups,2008,6,7,6,2008,40,44,37,2008,42,41,43,3,3,On course - Good progress,0.99000001,0,On course - Good progress,on course,2011,Currently on course
Comoros,Africa,Africa,Eastern Africa,2012,32,37,2012,11,13,,,,2012,11,13,2000,25,,,2012,32,2000,47,1996,40,1992,39,,,,,,,,,2012,2.5,3.3,2014,15,34,25,2,11,7,2011,31,55,2013,46,,,2008,8,8,8,2008,47,49,45,2008,24,23,25,3,5,Off course - Some progress,5.5,3.3,Off course - Some progress,off course,2011,Currently off course
Congo (Republic of the),Africa,Africa,Middle Africa,2011,25,176,2011,6,41,,,,2011,4,25,2005,13,,,,,2011,25,2005,31,1987,30,,,,,,,,,2011,1.7,13.8,2014,27,40,34,6,16,11,2011,51,508,2013,49,,,2008,8,8,9,2008,47,48,45,2008,29,27,31,4,5,Off course - Some progress,13.34000015,0,On course - Good progress,off course,2011,Currently off course
Costa Rica,Americas,Latin America and the Caribbean,Central America,2008,6,21,2008,1,4,,,,2008,8,30,2012,7.3,2008,6,1996,8,,,,,,,,,,,,2009,27.8,8.9,,,,2014,59,62,60,19,30,24,2011,19,246,2013,5,1996,Risk of iodine-induced hyperthyroidism within 5?10 years following introduction of iodized salt in susceptible groups,2008,10,10,10,2008,38,43,33,2008,41,37,45,,3,,,0.9,,on course,2011,Currently off course
Cote d'Ivoire,Africa,Africa,Western Africa,2012,30,914,2012,8,235,,,,2012,3,99,2006,17,2012,30,2007,39,2006,40,1998,32,1994,34,,,,,,,,,2011,0.9,5.8,2014,24,38,31,5,14,9,2011,49,2302,2013,52,1999-00,Optimal iodine nutrition,2008,9,9,10,2008,47,49,45,2008,21,19,23,5,5,Off course - Some progress,12.76000023,0,On course - Good progress,off course,2011,Currently off course
Croatia,Europe,Europe,Southern Europe,,,,,,,,,,,,,2011,4.95,,,,,,,,,,,,,,,,,,,,,,2014,64,54,59,23,24,23,2011,25,250,,,2002,Optimal iodine nutrition,2008,9,10,8,2008,47,50,43,2008,50,49,50,,,,,,,,2011,Currently off course
Cuba,Americas,Latin America and the Caribbean,Caribbean,,,,,,,,,,,,,2012,5.2,,,,,,,,,2000,7,,,,,,,,,,,,2014,54,63,59,19,32,25,2011,23,690,2013,6,1995,Mild iodine deficiency,2008,12,11,12,2008,41,43,39,2008,32,28,36,,,,,,,,2011,Currently off course
Cyprus,Asia,Asia,Western Asia,,,,,,,,,,,,,2007,11.5,,,,,,,,,,,,,,,,,,,,,,2014,64,57,60,22,26,24,2011,28,79,,,,,2008,8,10,7,2008,37,42,32,2008,57,59,56,,,,,,,,2011,Currently off course
Czech Republic,Europe,Europe,Eastern Europe,,,,,,,,,,,,,2012,8,,,,,,,2001,3,1991,3,,,,,,,,,,,,2014,70,57,63,26,27,27,2011,23,570,,,2000,Optimal iodine nutrition,2008,10,12,9,2008,43,48,38,2008,54,54,53,,,,,,,,2011,Currently off course
Democratic People's Republic of Korea,Asia,Asia,Eastern Asia,2012,28,472,2012,4,68,,,,2009,0,0,2009,5.7,2012,28,2009,32,2004,43,2002,45,2000,51,,,,,,,,,,,,2014,19,21,20,2,3,2,2011,25,1617,,,,,2008,8,8,8,2008,37,39,34,2008,26,24,28,5,4,On course - Good progress,47.41999817,0,On course - Good progress,on course,2011,Currently off course
Democratic Republic of the Congo,Africa,Africa,Middle Africa,2013,43,5072,2013,8,964,,,,2013,4,524,2010,9.5,2013,43,2010,44,2007,46,2001,44,1995,51,,,,,,,,,2013,4.4,13.8,2014,13,28,21,2,7,4,2011,49,7552,2013,64,1995,Risk of iodine-induced hyperthyroidism within 5?10 years following introduction of iodized salt in susceptible groups,2008,7,7,8,2008,45,47,43,2008,16,14,18,1,6,Off course - Some progress,3.519999981,0,On course - Good progress,off course,2011,Currently off course
Denmark,Europe,Europe,Northern Europe,,,,,,,,,,,,,2012,5.4,,,,,,,,,,,,,,,,,,,,,,2014,64,46,55,22,17,19,2011,18,226,,,1997-8,Mild iodine deficiency,2008,7,9,6,2008,35,41,28,2008,65,68,62,,,,,,,,2011,Currently off course
Djibouti,Africa,Africa,Eastern Africa,2012,34,36,2012,22,23,2012,0,9.100000381,2012,8,9,2006,10,2012,34,2006,33,2002,27,1996,32,1989,28,,,,,,2007,16.3,4.6,,,,2014,27,37,32,6,14,10,2011,27,65,2013,58,,,2008,10,10,9,2008,45,47,42,2008,37,37,36,-2,4,Off course - No progress,0.99000001,1.1,Off course - Some progress,off course,2011,Currently off course
Dominica,Americas,Latin America and the Caribbean,Caribbean,,,,,,,,,,,,,2011,10.8,,,,,,,,,,,,,,,,2009,24.8,9.1,,,,2014,54,63,58,19,33,26,2011,26,5,2013,10,,,2008,18,16,21,2008,47,50,44,2008,38,32,43,,,,,,,,2011,Currently off course
Dominican Republic,Americas,Latin America and the Caribbean,Caribbean,2013,7,75,2013,2,25,2013,,0.800000012,2013,8,81,2007,11,2013,7,2007,10,2006,11,2002,12,2000,8,,,,,,,,,2013,1.2,5.5,2014,53,60,56,18,30,24,2011,26,682,2013,8,1993,Moderate iodine deficiency,2008,9,8,9,2008,42,45,39,2008,32,28,36,6,3,On course - Good progress,1.460000038,0.7,Off course - Some progress,on course,2011,Currently off course
Ecuador,Americas,Latin America and the Caribbean,South America,2012,25,402,2012,2,37,2012,0,0.699999988,2012,8,120,2012,8.6,,,2012,25,2004,29,1998,33,1986,40,,,,,,,,,2004,13.8,1.8,2014,52,57,54,14,23,19,2011,24,936,2013,12,1999,"Risk of adverse health consequences (iodine induced hyperthyroidism, auto-immune thyroid diseases)",2008,10,9,10,2008,39,43,35,2008,40,38,41,2,4,Off course - Some progress,-4.940000057,0.5,Off course - No progress,on course,2011,Currently off course
Egypt,Africa,Africa,Northern Africa,2014,22,2068,2014,10,881,2014,0,4.800000191,2014,16,1456,2008,13,2014,22,2008,31,2005,24,2003,20,2000,25,,,,,,2011,32.5,7,2008,0.8,0.7,2014,56,68,62,20,38,29,2011,35,7384,2013,8,1998,Optimal iodine nutrition,2008,7,7,7,2008,38,39,37,2008,40,34,45,5,4,On course - Good progress,4.349999905,7.1,Off course - Some progress,off course,2011,Currently off course
El Salvador,Americas,Latin America and the Caribbean,Central America,2008,21,126,2008,2,10,2008,0,0.5,2008,6,35,2011,8.7,2008,21,2003,25,1998,32,1993,30,1988,37,,,,,,2013,28.9,9.9,2002,9.3,2.9,2014,53,60,57,16,27,22,2011,24,407,2013,7,1996-7,Optimal iodine nutrition,2008,11,11,11,2008,35,39,31,2008,35,31,38,3,4,Off course - Some progress,0.349999994,0,On course - Good progress,on course,2011,Currently off course
Equatorial Guinea,Africa,Africa,Middle Africa,2010,26,28,2010,3,3,2010,0,1.700000048,2010,10,10,2000,13,,,2010,26,2004,35,2000,43,1997,39,,,,,,,,,,,,2014,35,48,42,13,23,18,2011,45,77,2013,24,,,2008,9,9,9,2008,48,51,45,2008,41,40,42,5,5,Off course - Some progress,3.119999886,2.2,Off course - Some progress,on course,2011,Currently off course
Eritrea,Africa,Africa,Eastern Africa,2010,50,495,2010,15,151,2010,0,4.199999809,2010,2,19,2002,14,,,2010,50,2002,44,1995,48,1993,70,,,,,,,,,2002,2.3,38.1,2014,12,26,19,1,7,4,2011,33,451,2013,56,1998,Optimal iodine nutrition,2008,8,8,7,2008,41,43,38,2008,21,21,22,-2,5,Off course - No progress,-2.170000076,0,On course - At risk,off course,2011,Currently off course
Estonia,Europe,Europe,Northern Europe,,,,,,,,,,,,,2012,4.6,,,,,,,,,,,,,,,,,,,,,,2014,62,52,57,22,23,23,2011,24,77,,,1995,Mild iodine deficiency,2008,8,9,8,2008,47,53,42,2008,57,56,57,,,,,,,,2011,Currently off course
Ethiopia,Africa,Africa,Eastern Africa,2014,40,5822,2014,9,1254,2014,0,2.5,2014,3,375,2005,20,2014,40,2011,44,2005,51,2000,57,1992,67,,,,,,,,,2011,2.4,24,2014,12,26,19,2,7,4,2011,19,3979,2013,50,2000,Mild iodine deficiency,2008,7,7,7,2008,41,43,39,2008,21,21,22,3,5,Off course - Some progress,-13.03999996,3.3,On course - At risk,off course,2011,Currently off course
Fiji,Oceania,Oceania,Melanesia,,,,,,,,,,,,,2004,10.2,,,,,,,2004,8,1993,4,,,,,,2010,19.2,5.2,,,,2014,68,75,71,31,42,36,2011,27,61,2013,11,1994,Moderate iodine deficiency,2008,15,13,16,2008,42,43,40,2008,53,56,50,,,,,,,,2011,Currently off course
Finland,Europe,Europe,Northern Europe,,,,,,,,,,,,,2012,4.2,,,,,,,,,,,,,,,,,,,,,,2014,62,49,55,22,20,21,2011,18,206,,,1997,Optimal iodine nutrition,2008,8,10,6,2008,42,47,36,2008,59,58,59,,,,,,,,2011,Currently off course
France,Europe,Europe,Western Europe,,,,,,,,,,,,,2011,6.6,,,,,,,,,,,,,,,,,,,,,,2014,67,55,61,24,24,24,2011,19,2680,,,1996,Mild iodine deficiency,2008,6,7,4,2008,36,42,29,2008,62,64,60,,,,,,,,2011,Currently off course
Gabon,Africa,Africa,Middle Africa,2012,18,42,2012,3,8,2012,0,1.299999952,2012,8,18,2000,14,,,,,,,2012,18,2000,26,,,,,,,,,2012,1,5.2,2014,41,49,45,13,23,18,2011,51,201,2013,40,2001,Optimal iodine nutrition,2008,10,9,10,2008,46,48,43,2008,43,41,44,3,5,Off course - Some progress,-2.690000057,0.7,Off course - No progress,on course,2011,Currently off course
Gambia,Africa,Africa,Western Africa,2013,25,83,2013,12,39,,,,2013,3,9,2010,10.2,2013,25,2010,23,2006,28,2000,24,1996,36,,,,,,,,,,,,2014,26,39,33,6,16,11,2011,45,202,2013,54,1999,Moderate iodine deficiency,2008,11,10,11,2008,46,48,43,2008,20,18,23,-2,6,Off course - No progress,-12.43000031,2.9,On course - At risk,off course,2011,Currently off course
Georgia,Asia,Asia,Western Asia,2009,11,32,2009,2,5,2009,0,0.600000024,2009,20,57,2012,6.5,,,,,2009,11,2005,15,1999,16,,,,,,,,,,,,2014,54,56,55,17,24,21,2011,28,310,2013,11,1998,Mild iodine deficiency,2008,12,12,11,2008,47,50,44,2008,37,36,38,3,2,On course - Good progress,-1.190000057,6.3,Off course - No progress,on course,2011,Currently off course
Germany,Europe,Europe,Western Europe,2005,1,48,2005,1,37,2005,0,0.100000001,2005,4,129,2012,6.9,,,,,,,,,2005,1,,,,,,,,,,,,2014,63,47,55,22,19,20,2011,18,3318,,,1999,Optimal iodine nutrition,2008,8,10,6,2008,40,45,34,2008,66,70,61,,4,,,0,,on course,2011,Currently off course
Ghana,Africa,Africa,Western Africa,2014,19,697,2014,5,174,2014,0,0.699999988,2014,3,96,2011,10.7,2014,19,2011,23,2008,29,2006,28,2003,36,,,,,,2007,6.9,0.7,2008,1.2,7.7,2014,24,44,34,5,19,12,2011,56,3451,2013,50,1994,Mild iodine deficiency,2008,10,10,10,2008,42,43,41,2008,18,16,21,6,4,On course - Good progress,0,0,On course - Good progress,on course,2011,Currently off course
Greece,Europe,Europe,Southern Europe,,,,,,,,,,,,,2012,9.8,,,,,,,,,,,,,,,,,,,,,,2014,66,55,61,22,24,23,2011,20,540,,,,,2008,9,10,8,2008,36,39,33,2008,48,50,46,,,,,,,,2011,Currently off course
